"english";"russian";"difficulty"
"slowly";"медленно";A2
"smoke";"курить";A2
"smooth";"гладкий";A2
"smoothly";"плавно";A2
"snack";"закуска";A2
"snow";"снег";A2
"snowboarding";"сноуборд";A2
"so";"так";A2
"soap";"мыло";A2
"society";"общество";A2
"sock";"носок";A2
"soda";"сода";A2
"soft";"мягкий";A2
"soft drink";"безалкогольный напиток";A2
"softly";"мягко";A2
"software";"программное обеспечение";A2
"soldier";"солдат";A2
"solution";"решение";A2
"somebody";"кто-нибудь";A2
"someday";"когда-нибудь";A2
"somewhere";"где-то";A2
"sound";"звук";A2
"source";"источник";A2
"south";"юг";A2
"space";"космос";A2
"spaceship";"космический корабль";A2
"spaghetti";"спагетти";A2
"speaker";"оратор";A2
"specific";"специфический";A2
"speed";"скорость";A2
"spell";"заклинание";A2
"spill";"разливать";A2
"splash";"всплеск";A2
"split";"расколоть";A2
"spoon";"ложка";A2
"sports center";"спортивный центр";A2
"spread";"распространение";A2
"square";"квадрат";A2
"stadium";"стадион";A2
"staff";"персонал";A2
"stair";"лестница";A2
"stamp";"штамп";A2
"stand";"стоять";A2
"state";"состояние";A2
"statement";"заявление";A2
"statue";"статуя";A2
"steak";"стейк";A2
"steal";"воровать";A2
"step";"шаг";A2
"still";"все еще";A2
"stomach";"желудок";A2
"stomachache";"боли в животе";A2
"storm";"шторм";A2
"stove";"печь";A2
"straight";"прямой";A2
"stranger";"незнакомец";A2
"strategy";"стратегия";A2
"strength";"сила";A2
"strike";"ударять";A2
"string";"нить";A2
"strongly";"сильно";A2
"structure";"структура";A2
"study";"изучать";A2
"stuff";"вещи";A2
"style";"стиль";A2
"succeed";"преуспевать";A2
"success";"успех";A2
"successfully";"успешно";A2
"such";"такой";A2
"sudden";"внезапный";A2
"suggest";"предлагать";A2
"suit";"подходить";A2
"suitable";"подходящий";A2
"suitcase";"чемодан";A2
"summary";"краткое содержание";A2
"sunflower";"подсолнечник";A2
"sunglasses";"солнцезащитные очки";A2
"sunlight";"солнечный свет";A2
"superlative";"превосходная степень";A2
"superstar";"суперзвезда";A2
"supper";"ужин";A2
"support";"поддерживать";A2
"sure";"конечно";A2
"surf";"заниматься серфингом";A2
"surfing";"серфинг";A2
"surname";"фамилия";A2
"surprised";"удивлен";A2
"surprising";"удивительно";A2
"survive";"выживать";A2
"swallow";"глотать";A2
"sweat";"пот";A2
"sweater";"свитер";A2
"sweet";"сладкий";A2
"sweetheart";"дорогой";A2
"swimming costume";"купальный костюм";A2
"swimsuit";"купальник";A2
"symbol";"символ";A2
"symphony";"симфония";A2
"system";"система";A2
"table tennis";"настольный теннис";A2
"tablespoon";"столовая ложка";A2
"talent";"талант";A2
"tap";"кран";A2
"tape";"лента";A2
"target";"цель";A2
"task";"задача";A2
"tear";"рвать";A2
"teenage";"подростковый";A2
"teenager";"подросток";A2
"telephone";"телефон";A2
"temperature";"температура";A2
"terrify";"пугать";A2
"terrorist";"террорист";A2
"text";"текст";A2
"text message";"текстовое сообщение";A2
"textbook";"учебник";A2
"theirs";"их";A2
"themselves";"сами себя";A2
"therefore";"поэтому";A2
"thief";"вор";A2
"third";"третий";A2
"thirsty";"испытывающий жажду";A2
"though";"хотя";A2
"thought";"мысль";A2
"thousand";"тысяча";A2
"throw";"бросать";A2
"thunderstorm";"гроза";A2
"tidy";"аккуратный";A2
"tie";"галстук";A2
"tights";"колготки";A2
"till";"до";A2
"timetable";"расписание";A2
"tip";"кончик";A2
"title";"заголовок";A2
"toast";"тост";A2
"toe";"палец на ноге";A2
"tone";"тон";A2
"tonight";"сегодня вечером";A2
"toothache";"зубная боль";A2
"toothbrush";"зубная щетка";A2
"tour";"тур";A2
"tour guide";"гид";A2
"tourist";"турист";A2
"toward";"к";A2
"track";"отслеживать";A2
"trade";"торговля";A2
"tradition";"традиция";A2
"traditional";"традиционный";A2
"traffic";"трафик";A2
"traffic light";"светофор";A2
"train";"тренироваться";A2
"training";"обучение";A2
"tram";"трамвай";A2
"trap";"ловушка";A2
"travel";"путешествовать";A2
"traveler";"путешественник";A2
"treasure";"сокровище";A2
"trick";"обманывать";A2
"trouble";"беда";A2
"truly";"действительно";A2
"trust";"доверять";A2
"truth";"правда";A2
"try";"пытаться";A2
"tune";"настраивать";A2
"twice";"дважды";A2
"uncertain";"неопределенный";A2
"uncomfortable";"неудобно";A2
"understand";"понимать";A2
"underwater";"под водой";A2
"uneasy";"непростой";A2
"unfair";"несправедливый";A2
"unforgettable";"незабываемый";A2
"unfortunately";"к сожалению";A2
"unhappy";"несчастный";A2
"unhealthy";"нездоровый";A2
"uniform";"униформа";A2
"unimportant";"неважно";A2
"unit";"единица";A2
"university";"университет";A2
"unknown";"неизвестный";A2
"unlike";"в отличие от";A2
"unnecessary";"ненужный";A2
"unpleasant";"неприятный";A2
"unusual";"необычный";A2
"up";"вверх";A2
"upon";"на";A2
"upset";"расстройство";A2
"upstairs";"наверху";A2
"use";"использовать";A2
"used";"использовал";A2
"useful";"полезный";A2
"usual";"обычный";A2
"valley";"долина";A2
"value";"ценить";A2
"verb";"глагол";A2
"video game";"видеоигра";A2
"view";"вид";A2
"village";"деревня";A2
"violent";"жестокий";A2
"violin";"скрипка";A2
"visitor";"посетитель";A2
"vocabulary";"словарный запас";A2
"voice";"голос";A2
"walking";"ходьба";A2
"wallet";"кошелек";A2
"wander";"бродить";A2
"washing machine";"стиральная машина";A2
"washing-up";"мытье посуды";A2
"wave";"волна";A2
"weak";"слабый";A2
"wealth";"богатство";A2
"web";"сеть";A2
"web page";"веб-страница";A2
"website";"веб-сайт";A2
"wedding";"свадьба";A2
"weekday";"будний день";A2
"weekly";"еженедельно";A2
"weep";"плакать";A2
"weigh";"взвешивать";A2
"weight";"масса";A2
"well-known";"известный";A2
"west";"запад";A2
"wet";"влажный";A2
"whatever";"что бы ни";A2
"wheelchair";"инвалидная коляска";A2
"while";"пока";A2
"whole";"весь";A2
"whom";"кому";A2
"wide";"широкий";A2
"widely";"широко";A2
"wild";"дикий";A2
"windy";"ветрено";A2
"wine";"вино";A2
"winner";"победитель";A2
"wisdom";"мудрость";A2
"wise";"мудрый";A2
"wish";"желание";A2
"within";"в пределах";A2
"without";"без";A2
"wonder";"удивляться";A2
"wood";"древесина";A2
"wooden";"деревянный";A2
"wool";"шерсть";A2
"worldwide";"по всему миру";A2
"worried";"обеспокоенный";A2
"worry";"волноваться";A2
"worse";"хуже";A2
"worst";"худший";A2
"writing";"письмо";A2
"wrong";"неправильный";A2
"yeah";"ага";A2
"youth";"молодость";A2
"zone";"зона";A2
